station_european_code	station_local_code	country_iso_code	country_name	station_name	station_start_date	station_end_date	type_of_station	station_ozone_classification	station_type_of_area	station_subcat_rural_back	street_type	station_longitude_deg	station_latitude_deg	station_altitude	station_city	lau_level1_code	lau_level2_code	lau_level2_name	EMEP_station
BEMAT01	00AT01	BE	Belgium	00AT01 - ANTWERPEN	2008-04-11	2008-11-30	Industrial		urban			4.396211	51.197620	7	ANTWERPEN				no
BEMBE01	00BE01	BE	Belgium	00BE01 - BEERSE	1979-08-01		Industrial		suburban			4.820047	51.324501	29	BEERSE				no
BEMBE02	00BE02	BE	Belgium	00BE02 - BEERSE	1979-08-01		Industrial		suburban			4.801531	51.332619	29	BEERSE				no
BEMBE06	00BE06	BE	Belgium	00BE06 - BEERSE	2002-01-01		Industrial		suburban			4.817711	51.329193	32	BEERSE				no
BEMBE07	00BE07	BE	Belgium	00BE07 - BEERSE	2005-06-11		Industrial		suburban			4.820458	51.325588	35	BEERSE				no
BEMBE08	00BE08	BE	Belgium	00BE08 - BEERSE	2006-01-25		Industrial		suburban			4.823100	51.321281	29	BEERSE				no
BEMBE09	00BE09	BE	Belgium	00BE09 - BEERSE	2007-12-20		Industrial		suburban			4.788753	51.326900	31	BEERSE				no
BEMBE10	00BE10	BE	Belgium	00BE10 - BEERSE	2008-04-03	2008-07-14	Industrial		suburban			4.805172	51.321556	29	BEERSE				no
BEMBE11	00BE11	BE	Belgium	00BE11 - BEERSE	2008-04-03	2008-07-14	Industrial		suburban			4.824506	51.328675	31	BEERSE				no
BEMBE15	00BE15	BE	Belgium	00BE15 - BEERSE	2011-09-02		Industrial		suburban			4.822739	51.322722	28	BEERSE				no
BEMEK03	00EK03	BE	Belgium	00EK03 - EKSEL	2007-02-01		Background		rural			5.363797	51.125137	65	EKSEL				no
BEMGK02	00GK02	BE	Belgium	00GK02 - GENK	1975-02-01		Industrial		suburban			5.517372	50.937019	75	GENK				no
BEMGK03	00GK03	BE	Belgium	00GK03 - GENK	2006-02-18		Industrial		suburban			5.506403	50.931221	83	GENK				no
BEMGK04	00GK04	BE	Belgium	00GK04 - GENK	2006-03-22		Industrial		suburban			5.516800	50.932850	83	00GK04				no
BEMGK05	00GK05	BE	Belgium	00GK05 - GENK	2006-03-28		Industrial		suburban			5.525538	50.941044	83	GENK				no
BEMGK06	00GK06	BE	Belgium	00GK06 - GENK	2006-03-31	2008-07-06	Industrial		suburban			5.469322	50.928440	83	GENK				no
