,x,500iters3years128units_RS3,500iters3years128units_RS2,500iters3years128units_RS1,500iters3years128units_RS4,500iters3years128units_RS5,500iters3years128units_BO2,500iters3years128units_BO3,500iters3years128units_BO4,500iters3years128units_BO5,500iters3years128units_BO1,500iters3years128units_Island18LS_1,500iters3years128units_Island18LS_3,500iters3years128units_Island18LS_4,500iters3years128units_Island18LS_5,500iters3years128units_Island18LS_6,500iters3years128units_Island5_1,500iters3years128units_Island5_3,500iters3years128units_Island5_5,500iters3years128units_Island5_2,500iters3years128units_Island5_4
0,0,75.9008593166078,64.27749719142045,69.74968542938186,75.53309298354878,66.11888872182931,75.32018079283404,75.01245105688878,75.44618822293583,75.63157805637914,75.41919363931567,72.5515173850262,71.59101423803403,75.73651488307473,75.67029956747425,66.38043267122987,74.58038230232984,69.02382526099296,75.82360843315189,74.99448860237572,75.4901301672311
1,1,75.9008593166078,65.80595445157948,74.0388531971148,75.53309298354878,71.97836653357565,75.32018079283404,75.01245105688878,75.44618822293583,75.63157805637914,75.41919363931567,75.186594477379,74.74594746634682,75.73651488307473,75.67029956747425,66.38043267122987,74.58038230232984,75.44629676450376,75.82360843315189,75.22585377307914,75.4901301672311
2,2,75.9008593166078,75.59638167208163,75.64695725486395,75.53309298354878,71.97836653357565,75.76614303486723,75.01245105688878,75.44618822293583,75.63157805637914,75.41919363931567,75.186594477379,75.17736866359144,75.73651488307473,75.67029956747425,75.59978863028718,74.58038230232984,75.44629676450376,75.82360843315189,75.22585377307914,75.807904847427
3,3,75.9008593166078,75.59638167208163,75.64695725486395,75.53309298354878,75.00022722113644,75.76614303486723,75.01245105688878,75.44618822293583,75.63157805637914,75.73947101989336,75.186594477379,75.17736866359144,75.73651488307473,75.67029956747425,75.59978863028718,74.78245312498049,75.44629676450376,75.91789815702454,75.22585377307914,75.807904847427
4,4,75.9008593166078,75.59638167208163,75.64695725486395,75.64830750242513,75.20274765442684,75.76614303486723,75.01245105688878,75.44618822293583,75.63157805637914,75.73947101989336,75.186594477379,75.99404712617186,75.73651488307473,75.67029956747425,75.796597905321,74.78245312498049,75.44629676450376,75.91789815702454,75.22585377307914,75.807904847427
5,5,75.9008593166078,75.77581163339224,75.83797329815329,75.64830750242513,75.20274765442684,75.76614303486723,75.01245105688878,75.44618822293583,75.63157805637914,75.73947101989336,75.186594477379,75.99404712617186,75.73651488307473,75.67029956747425,75.796597905321,75.51090905402252,75.44629676450376,75.91789815702454,75.52613871432845,75.807904847427
6,6,76.03405018912899,75.77581163339224,75.83797329815329,75.64830750242513,75.61260449589905,75.76614303486723,75.01245105688878,75.44618822293583,75.63157805637914,75.74715922166021,75.186594477379,75.99404712617186,75.73651488307473,75.67029956747425,75.796597905321,75.51090905402252,75.44629676450376,75.91789815702454,75.52613871432845,75.807904847427
7,7,76.03405018912899,75.77581163339224,75.83797329815329,75.64830750242513,75.61260449589905,75.76614303486723,75.41417441403634,75.81327186659487,75.63157805637914,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.67029956747425,75.796597905321,76.00516530013374,75.44629676450376,75.91789815702454,75.52613871432845,75.807904847427
8,8,76.03405018912899,75.77581163339224,75.83797329815329,75.64830750242513,75.61260449589905,75.76614303486723,75.41417441403634,75.81327186659487,75.63157805637914,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.796597905321,76.00516530013374,75.52108875561521,75.91789815702454,75.52613871432845,75.807904847427
9,9,76.03405018912899,75.77581163339224,75.83797329815329,75.660066765933,75.61260449589905,75.76614303486723,75.41417441403634,75.81327186659487,75.63157805637914,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.82418976334569,76.00516530013374,75.52108875561521,75.91789815702454,75.52613871432845,75.807904847427
10,10,76.03405018912899,75.77581163339224,75.83797329815329,75.85007166455703,75.61260449589905,75.76614303486723,75.46462487035564,75.81327186659487,75.63157805637914,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.82418976334569,76.00516530013374,75.52108875561521,75.91789815702454,75.52613871432845,75.807904847427
11,11,76.03405018912899,75.77581163339224,75.83797329815329,75.85007166455703,75.61260449589905,75.76614303486723,75.46462487035564,75.81327186659487,75.63157805637914,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.82418976334569,76.00516530013374,75.54352019026072,75.91789815702454,75.52613871432845,75.807904847427
12,12,76.03405018912899,75.77581163339224,75.83797329815329,75.85007166455703,75.61260449589905,75.76614303486723,75.46462487035564,75.81327186659487,75.63157805637914,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.82418976334569,76.00516530013374,75.54352019026072,75.91789815702454,75.52613871432845,75.807904847427
13,13,76.03405018912899,75.77581163339224,75.83797329815329,75.85007166455703,75.61260449589905,75.97646279664788,75.46462487035564,75.81327186659487,75.63157805637914,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.82418976334569,76.00516530013374,75.54352019026072,75.91789815702454,75.55242177226336,75.807904847427
14,14,76.03405018912899,75.77581163339224,75.83797329815329,75.85007166455703,75.61260449589905,75.97646279664788,75.46462487035564,75.81327186659487,75.63157805637914,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.82418976334569,76.00516530013374,75.54352019026072,75.91817546090697,75.55242177226336,75.807904847427
15,15,76.03405018912899,75.77581163339224,75.83797329815329,75.85007166455703,75.61260449589905,75.97646279664788,75.46462487035564,75.81327186659487,75.63157805637914,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.82418976334569,76.00516530013374,76.0005988540391,75.91817546090697,75.55242177226336,75.807904847427
16,16,76.03405018912899,75.77581163339224,75.83797329815329,75.85007166455703,75.61260449589905,75.97646279664788,75.71500936354332,75.81327186659487,75.63157805637914,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.82418976334569,76.00516530013374,76.0005988540391,75.91817546090697,75.55242177226336,75.807904847427
17,17,76.03405018912899,75.77581163339224,75.83797329815329,75.85007166455703,75.61260449589905,75.97646279664788,75.71500936354332,75.81327186659487,75.63157805637914,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.82418976334569,76.00516530013374,76.0005988540391,75.91817546090697,75.55242177226336,75.807904847427
18,18,76.03405018912899,75.77581163339224,75.83797329815329,75.85007166455703,75.61260449589905,75.97646279664788,75.71500936354332,75.81327186659487,75.63157805637914,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.82418976334569,76.00516530013374,76.0005988540391,75.91817546090697,75.62881425382551,75.8444509004292
19,19,76.03405018912899,75.77581163339224,75.83797329815329,75.85007166455703,75.61260449589905,75.97646279664788,75.71500936354332,75.81327186659487,75.63157805637914,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.82418976334569,76.00516530013374,76.0005988540391,75.91817546090697,75.62881425382551,75.8444509004292
20,20,76.03405018912899,75.77581163339224,75.83797329815329,75.85007166455703,75.61260449589905,75.97646279664788,75.71500936354332,75.81327186659487,75.63157805637914,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.82418976334569,76.00516530013374,76.0005988540391,75.91817546090697,75.72209202771455,75.8444509004292
21,21,76.03405018912899,75.90750588119168,75.83797329815329,75.85007166455703,75.61260449589905,75.97646279664788,75.71500936354332,76.12458648990207,75.63157805637914,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.82418976334569,76.00516530013374,76.0005988540391,75.91817546090697,75.72209202771455,75.8444509004292
22,22,76.03405018912899,76.02862007213542,75.83797329815329,75.85007166455703,75.93167717139859,75.97646279664788,75.71500936354332,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.82418976334569,76.00516530013374,76.0005988540391,75.91817546090697,75.72209202771455,75.8444509004292
23,23,76.03405018912899,76.02862007213542,75.83797329815329,75.9752589952659,75.93167717139859,75.97646279664788,75.71500936354332,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.82418976334569,76.00516530013374,76.0005988540391,75.91817546090697,75.72209202771455,75.8444509004292
24,24,76.03405018912899,76.02862007213542,75.83797329815329,75.9752589952659,75.93167717139859,75.97646279664788,75.71500936354332,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.00516530013374,76.0005988540391,75.91817546090697,75.72209202771455,75.8444509004292
25,25,76.03405018912899,76.02862007213542,75.83797329815329,75.9752589952659,75.93167717139859,75.97646279664788,75.71500936354332,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.00516530013374,76.0005988540391,75.91817546090697,75.72209202771455,75.8444509004292
26,26,76.03405018912899,76.02862007213542,75.83797329815329,75.9752589952659,75.93167717139859,75.97646279664788,75.71500936354332,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.05334749988845,76.0005988540391,75.91817546090697,75.72209202771455,75.8444509004292
