,CY0002R,CY0006A,CY0004A,2m_temperature,evaporation_from_the_top_of_canopy,evaporation_from_vegetation_transpiration,forecast_albedo,lake_mix_layer_depth,lake_mix_layer_temperature,potential_evaporation,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,surface_runoff,surface_sensible_heat_flux,surface_solar_radiation_downwards,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,CY0002R-1,CY0006A-1,CY0004A-1
2013-01-01,106.0625,66.5375,66.5375,288.53466796875,-5.749898264184594e-05,-4.423782229423523e-09,0.1725056655704975,11.486327171325684,285.9510498046875,-0.0015230132266879,291.500244140625,288.7388916015625,285.5126953125,6971790.25,-2677793.25,99618.75,1.4232355166399202e-05,-1458790.5,8425483.875,0.0011088542173069,0.3396568298339844,0.3393058776855469,106.0625,66.5375,66.5375
2013-01-02,100.69999999999999,68.49999999999999,68.49999999999999,288.8031005859375,-0.0005166420014575,-2.852175384759903e-09,0.1728176735341549,10.869139671325684,286.0091552734375,-0.0010608113370835,290.686279296875,288.2501220703125,285.5250244140625,5897127.5,-2110091.25,100031.25,4.233513027429581e-05,-940627.25,7129290.25,0.0033288835547864,0.3756599426269531,0.3434715270996094,106.0625,66.5375,66.5375
2013-01-03,96.6625,74.975,74.975,290.0567626953125,-0.000299320963677,-2.619344741106033e-09,0.1731296777725219,8.201170921325684,286.3726806640625,-0.0014141325373202,293.2774658203125,289.6529541015625,285.9930419921875,6760614.25,-2303679.25,100280.125,1.8021346477326008e-06,-1077877.875,8176512.0,0.0001654852821957,0.3656120300292969,0.35601806640625,100.69999999999999,68.49999999999999,68.49999999999999
2013-01-04,95.7375,69.537499995,69.537499995,287.9298095703125,-0.0001983777619898,-3.536115400493145e-09,0.1734340563416481,5.653807640075684,286.8232421875,-0.0012466658372431,291.1441650390625,289.006591796875,285.9869384765625,6421730.25,-2300260.625,99502.9375,4.3663804717652965e-05,-1115644.125,7770189.0,0.0031323211442213,0.3888397216796875,0.3538589477539062,96.6625,74.975,74.975
2013-01-05,94.1625,61.6125,61.6125,287.55322265625,-0.0003552336711436,-8.149072527885437e-09,0.1737460643053054,12.214354515075684,285.728271484375,-0.0018100165762007,289.061279296875,287.365478515625,285.6217041015625,6006715.125,-2593760.375,98616.875,4.116845957469195e-06,-843380.5,7269715.375,0.0003695236046041,0.3717536926269531,0.3637504577636719,95.7375,69.537499995,69.537499995
2013-01-06,90.7625,49.05,49.05,286.904541015625,-0.0001884278608486,-7.450580596923828e-09,0.1740580722689628,15.199217796325684,285.3970947265625,-0.0017187348566949,288.7076416015625,287.1378173828125,285.1119384765625,6224696.125,-2404492.875,98145.0,1.2023374438285828e-05,-1090582.0,7536367.1875,0.0009997775778174,0.3653221130371094,0.3597183227539062,94.1625,61.6125,61.6125
2013-01-07,95.4375,53.037499999999994,53.037499999999994,284.872314453125,-0.0005278689786791,-1.0826624929904938e-08,0.1743700802326202,19.919920921325684,285.07958984375,-0.0020295651629567,286.3792724609375,285.9136962890625,284.974853515625,6381946.625,-2298742.125,97958.125,8.196543785743415e-05,-1235146.0,7729254.75,0.0050943018868565,0.3986282348632812,0.3872315883636474,90.7625,49.05,49.05
2013-01-08,106.2875,90.48749999625,90.48749999625,282.2088623046875,-3.533373819664121e-05,-1.6763806343078613e-08,0.1746744588017463,22.046874046325684,284.7222900390625,-0.0020529455505311,284.4263916015625,284.1312255859375,283.6959228515625,5308540.25,-2992546.25,98514.1875,1.298125653192983e-06,-629705.0,6433493.5,0.0001107359248635,0.3746452331542969,0.3788528442382812,95.4375,53.037499999999994,53.037499999999994
2013-01-09,101.4125,73.59999999749999,73.59999999749999,280.2623291015625,-0.0004299299325793,-2.3050233721733093e-08,0.1879182904958725,24.785155296325684,284.3472900390625,-0.0026178965345025,282.3739013671875,282.130126953125,281.7774658203125,7263012.125,-3349605.625,98818.375,1.6493788166371814e-05,-1559899.75,8953011.0,0.0019602789834607,0.3776588439941406,0.3722724914550781,106.2875,90.48749999625,90.48749999625
2013-01-10,95.85,62.8874999975,62.8874999975,283.396728515625,-1.4409597497433424e-06,-1.4668330550193788e-08,0.1840913519263267,25.487303733825684,284.0655517578125,-0.0020839259959757,286.4427490234375,283.7833251953125,281.1307373046875,8233683.625,-3792143.125,99648.0,3.846545032271109e-06,-1708972.0,10107579.8125,0.0,0.3627204895019531,0.3669013977050781,101.4125,73.59999999749999,73.59999999749999
2013-01-11,88.5,41.4375,41.4375,285.306640625,-3.485893830657005e-05,-6.868503987789154e-09,0.1810426115989685,22.120116233825684,283.95263671875,-0.0012305900454521,287.6812744140625,284.6844482421875,281.629638671875,5846066.25,-2344151.75,100086.8125,4.275008382848e-06,-899258.25,7147840.25,9.865295817235165e-05,0.3572807312011719,0.361541748046875,95.85,62.8874999975,62.8874999975
2013-01-12,99.2625,69.774999995,69.774999995,288.1602783203125,-6.448221392929554e-05,-4.889443516731262e-09,0.1782761588692665,23.814452171325684,283.9273681640625,-0.0017253095284104,289.7518310546875,286.3687744140625,283.017578125,5972698.25,-2008149.125,100021.5,2.5611859690855e-06,-888032.25,7274696.75,3.302966433693655e-06,0.3512916564941406,0.3574333190917969,88.5,41.4375,41.4375
2013-01-13,88.60000000000001,56.58749999625,56.58749999625,287.6329345703125,-0.0004229990299791,-3.5506673157215123e-09,0.1770241409540176,21.456053733825684,283.909912109375,-0.0009976467117667,289.9908447265625,286.75439453125,283.75537109375,4688452.0,-1385890.375,99868.75,3.487171488814056e-05,-533346.5,5697744.0,0.0027129403315484,0.3722305297851562,0.3559761047363281,99.2625,69.774999995,69.774999995
