,MT00008,MT00007,MT00004,MT00005,MT00003,10m_u_component_of_wind,10m_v_component_of_wind,2m_dewpoint_temperature,2m_temperature,evaporation_from_bare_soil,evaporation_from_open_water_surfaces_excluding_oceans,evaporation_from_the_top_of_canopy,evaporation_from_vegetation_transpiration,forecast_albedo,lake_bottom_temperature,lake_ice_depth,lake_ice_temperature,lake_mix_layer_depth,lake_mix_layer_temperature,lake_shape_factor,lake_total_layer_temperature,leaf_area_index_high_vegetation,leaf_area_index_low_vegetation,potential_evaporation,runoff,skin_reservoir_content,skin_temperature,snow_albedo,snow_cover,snow_density,snow_depth,snow_depth_water_equivalent,snow_evaporation,snowfall,snowmelt,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,sub_surface_runoff,surface_latent_heat_flux,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,surface_runoff,surface_sensible_heat_flux,surface_solar_radiation_downwards,surface_thermal_radiation_downwards,temperature_of_snow_layer,total_evaporation,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,MT00008-1,MT00007-1,MT00004-1,MT00005-1,MT00003-1
2013-01-01,85.76249999999999,100.975,83.6875,83.6875,81.72500000000001,5.00811767578125,-2.253568649291992,280.6547393798828,287.9343249797821,-0.0001058592024492,-0.0003185208188369,-4.73923864774406e-05,-0.0003839764103759,0.1179134845733642,285.5354595184326,-273.15,0.0001922607422102,14.104002952575684,286.5788879394531,-272.3995995759964,12.789056396484398,0.800872802734375,0.9021759033203124,-0.0014963363646529,3.1111427176711004e-05,1.03708583765183e-06,290.85744857788086,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,289.94602966308594,287.2771759033203,290.35984802246094,295.4093360900879,3.036979245507609e-05,-2140056.75,5139798.15625,-2779094.4921875,101690.94921875,7.490859275094408e-07,-131636.375,5826113.423828125,13304485.73046875,273.1602020263672,-0.0008557489200029,0.0001032149939419,0.2139523029327392,0.2550339102745056,0.2527350783348083,0.2789706587791443,85.76249999999999,100.975,83.6875,83.6875,81.72500000000001
2013-01-02,80.88749999999999,103.73749999999998,83.64999999999999,83.64999999999999,82.35,3.8348541259765625,5.455164909362793,279.75203704833984,288.2818355560303,-9.864693856798112e-05,-0.0004229148908052,-4.993751645088196e-05,-0.0005694656283594,0.1179699301719665,285.50346755981445,-273.15,-0.0017150878906022,16.924362182617188,286.3354797363281,-272.3995995759964,12.731439208984398,0.800872802734375,0.903228759765625,-0.0023311877157539,3.323009423183976e-05,8.824280484986957e-06,289.45289611816406,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,288.9824752807617,287.4185333251953,290.2197570800781,295.3178520202637,3.0296476268176772e-05,-2853325.0,3582941.875,-2150656.796875,101757.171875,2.922738417510118e-06,813956.6484375,4062045.30859375,14137127.751953123,273.16015625,-0.0011409646831452,0.0003854641490761,0.2126800417900085,0.2530669569969177,0.2526835799217224,0.278932511806488,85.76249999999999,100.975,83.6875,83.6875,81.72500000000001
2013-01-03,78.92499999999998,104.93749999999999,80.69999999999999,80.69999999999999,85.775,-5.630836486816406,-0.9972152709960938,283.36012268066406,287.8528871536255,-6.452501111198217e-05,-0.0002885460853576,-0.0001143063273048,-0.0002928285102825,0.1180111169815063,285.4898147583008,-273.15,0.0009704589843977,18.165573120117188,286.2460632324219,-272.3995995759964,12.705285644531273,0.800872802734375,0.9041748046875,-0.0013824763591401,3.6398104384716135e-05,1.3493931874108966e-05,289.8697738647461,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,289.3420639038086,287.5113525390625,290.1089096069336,295.2261848449707,3.022927188567337e-05,-1901121.90625,3796491.96875,-1874057.2578125,102343.953125,6.176284387038322e-06,122351.34765625,4303353.296875,14414048.18725586,273.1605529785156,-0.0007602051700814,0.0008149363056872,0.221655011177063,0.251520574092865,0.2526378035545349,0.2788829207420349,80.88749999999999,103.73749999999998,83.64999999999999,83.64999999999999,82.35
2013-01-04,83.37499999999999,97.38749999999999,80.1875,80.1875,87.4625,-0.9008445739746094,-2.9670681953430176,282.90764236450195,287.82290267944336,-8.283992065116763e-05,-0.0002915367658715,-0.000233505415963,-0.000226706295507,0.1180636882781982,285.49922943115234,-273.15,-0.0002960205077897,17.783584594726562,286.2607727050781,-272.4004445314407,12.71198425292971,0.800872802734375,0.905242919921875,-0.0012327197473496,4.2917824430332985e-05,7.0368396336562e-06,291.1179413795471,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,290.510986328125,287.8780937194824,290.03370666503906,295.1334037780762,3.015595569877405e-05,-2087138.09375,5148360.78125,-2596983.23828125,102450.015625,1.2763207905663876e-05,235355.21875,5839113.953125,13782921.59375,273.1597137451172,-0.000834588696307,0.0015864708111621,0.2540954947471618,0.2510690093040466,0.2525767683982849,0.2788428664207458,78.92499999999998,104.93749999999999,80.69999999999999,80.69999999999999,85.775
2013-01-05,84.02499999999999,100.71249999999999,83.39999999999999,83.39999999999999,84.8625,7.852717399597168,-7.63429069519043,282.7269592285156,288.0797595977783,-0.0001050912687787,-0.0004709826316684,-2.68258418145706e-07,-0.0005006986903026,0.118104875087738,285.4916343688965,-273.15,0.0002838134765852,20.37495422363281,286.1410827636719,-272.3995995759964,12.690774536132835,0.800872802734375,0.9062042236328124,-0.0023880818625912,3.0094859482687752e-05,-4.3368090777069245e-20,290.2377109527588,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,290.04595947265625,287.97889709472656,290.00390243530273,295.04269790649414,3.0094859482687752e-05,-2693462.875,6073890.6875,-3441780.1640625,101732.5625,6.109573291723791e-09,102452.8125,6886206.39453125,12903384.08203125,273.1593322753906,-0.0010770400403998,4.276632239452738e-07,0.2423407435417175,0.2507681250572204,0.2525119185447693,0.2787913680076599,83.37499999999999,97.38749999999999,80.1875,80.1875,87.4625
2013-01-06,83.71249999999999,106.71249999999999,85.175,85.175,82.8125,4.8031768798828125,-8.699485778808594,282.9256134033203,288.5238914489746,-0.0001020285417325,-0.0004623224958777,-1.3612135774110357e-07,-0.0004339275474194,0.1181593537330627,285.4966697692871,-273.15,-5.187988278976263e-05,24.57994079589844,286.0299987792969,-272.3995995759964,12.687005615234398,0.800872802734375,0.907135009765625,-0.002362321014516,3.0026316323983337e-05,-2.40692950017233e-20,290.61755561828613,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,290.5093536376953,288.28639221191406,289.9984397888184,294.9530601501465,3.002154693376724e-05,-2496836.0,6343970.875,-3591371.515625,101589.59375,0.0,137962.0,7193593.6533203125,12837758.58203125,273.1602783203125,-0.0009984151110984,0.0,0.2304027676582336,0.2499756217002868,0.252443253993988,0.2787417769432068,84.02499999999999,100.71249999999999,83.39999999999999,83.39999999999999,84.8625
2013-01-07,84.02499999999999,95.92499999999998,73.4125,32.9375,79.7,9.90096950531006,-4.380981206893921,284.61279296875,288.63733291625977,-7.651744817849249e-05,-0.0003430184733588,-1.0227142411167732e-05,-0.000299978419207,0.1182024478912353,285.5027656555176,-273.15,0.0011535644531477,26.930160522460938,285.9856414794922,-272.3995995759964,12.687493896484398,0.800872802734375,0.908203125,-0.0017985634040087,3.086480859337826e-05,1.2108589544368442e-05,290.08384704589844,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,290.0314292907715,288.2176971435547,290.002742767334,294.8649177551269,2.9954342551263835e-05,-1824937.5,4315642.3125,-2581717.3671875,101513.74609375,9.104667526571576e-07,506522.4375,4892192.2578125,13816723.615234377,273.1593170166016,-0.0007297417905647,0.0001268075284315,0.2238167524337768,0.2489022612571716,0.2523784041404724,0.2786902785301208,83.71249999999999,106.71249999999999,85.175,85.175,82.8125
2013-01-08,83.825,94.06249999999999,91.5625,62.6125,79.725,3.475410461425781,-1.9403648376464844,283.9435310363769,288.3154525756836,-0.000113660324132,-0.0003189372655469,-2.695436342037283e-05,-0.0001665611489443,0.1182569861412048,285.520263671875,-273.15,0.0005889892578352,21.63218688964844,286.11766052246094,-272.40055706501005,12.709802246093773,0.800872802734375,0.90924072265625,-0.0011315379524603,2.995359676560838e-05,5.674227736562898e-07,292.7331085205078,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,292.0598449707031,288.2974166870117,289.9867553710937,294.77874183654785,2.9887134530781623e-05,-1565784.625,6318904.6875,-3556896.078125,102120.61328125,7.256933187704817e-08,-17761.921875,7165686.65234375,12802951.1640625,273.1596984863281,-0.0006261136441025,9.155878501587722e-06,0.2249304056167602,0.2479223608970642,0.2523002028465271,0.2786521315574646,84.02499999999999,95.92499999999998,73.4125,32.9375,79.7
2013-01-09,99.9875,106.13749999999999,99.88749999999999,70.425,87.425,7.626215934753418,-0.3008489608764648,284.92506408691406,288.54792881011963,-7.548867142759264e-05,-0.0003457981802057,-7.259869016706944e-05,-0.0002148254134226,0.1183095574378967,285.5375099182129,-273.15,-0.0004333496093522,21.877243041992188,286.1300964355469,-272.3995995759964,12.726243591308616,0.800872802734375,0.910308837890625,-0.0015466539189219,3.365567226865096e-05,6.973568247303774e-07,291.02588653564453,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,290.8354187011719,288.4274368286133,289.9985160827637,294.6953592300415,2.9819930148278218e-05,-1772346.5625,5137203.90625,-2419667.3984375,101937.21875,3.824863824775093e-06,109206.75,5828701.1484375,14069549.72265625,273.1598358154297,-0.0007087112026056,0.0005028498999308,0.2243685722351074,0.2469152808189392,0.2522334456443786,0.278587281703949,83.825,94.06249999999999,91.5625,62.6125,79.725
2013-01-10,85.4125,105.52499999999999,94.04999999999998,90.95,85.3875,7.268782615661621,-0.0094270706176757,283.4537124633789,288.1672434806824,-9.058155410457402e-05,-0.0004404356295708,-1.6443962522316724e-05,-0.0003756808873731,0.1183507442474365,285.53852558135986,-273.15,-0.0002655029296647,22.86778259277344,286.1001892089844,-272.4004369020462,12.72406158447268,0.800872802734375,0.9112701416015624,-0.0021132776746526,3.041031590100829e-05,1.376828890897741e-07,290.6884307861328,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,290.6045684814453,288.4946060180664,290.0148086547852,294.6110000610352,2.9746613961378895e-05,-2308594.25,5016952.6875,-2221134.609375,101498.734375,6.514828498893621e-07,40082.0,5691595.6953125,14304199.79296875,273.159423828125,-0.0009231420408468,9.220547144650482e-05,0.2169039249420166,0.2458724379539489,0.2521399855613708,0.2785491347312927,99.9875,106.13749999999999,99.88749999999999,70.425,87.425
