,MT00007,MT00008,MT00004,MT00003,MT00005,evaporation_from_the_top_of_canopy,forecast_albedo,lake_mix_layer_depth,lake_mix_layer_temperature,potential_evaporation,skin_reservoir_content,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_4,sub_surface_runoff,surface_net_solar_radiation,surface_net_thermal_radiation,surface_runoff,surface_sensible_heat_flux,surface_solar_radiation_downwards,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_4,MT00007-1,MT00008-1,MT00004-1,MT00003-1,MT00005-1
2013-01-01,100.975,85.76249999999999,83.6875,81.72500000000001,83.6875,-4.73923864774406e-05,0.1179134845733642,14.104002952575684,286.5788879394531,-0.0014963363646529,1.03708583765183e-06,290.85744857788086,289.94602966308594,287.2771759033203,295.4093360900879,3.036979245507609e-05,5139798.15625,-2779094.4921875,7.490859275094408e-07,-131636.375,5826113.423828125,0.0001032149939419,0.2139523029327392,0.2550339102745056,0.2789706587791443,100.975,85.76249999999999,83.6875,81.72500000000001,83.6875
2013-01-02,103.73749999999998,80.88749999999999,83.64999999999999,82.35,83.64999999999999,-4.993751645088196e-05,0.1179699301719665,16.924362182617188,286.3354797363281,-0.0023311877157539,8.824280484986957e-06,289.45289611816406,288.9824752807617,287.4185333251953,295.3178520202637,3.0296476268176772e-05,3582941.875,-2150656.796875,2.922738417510118e-06,813956.6484375,4062045.30859375,0.0003854641490761,0.2126800417900085,0.2530669569969177,0.278932511806488,100.975,85.76249999999999,83.6875,81.72500000000001,83.6875
2013-01-03,104.93749999999999,78.92499999999998,80.69999999999999,85.775,80.69999999999999,-0.0001143063273048,0.1180111169815063,18.165573120117188,286.2460632324219,-0.0013824763591401,1.3493931874108966e-05,289.8697738647461,289.3420639038086,287.5113525390625,295.2261848449707,3.022927188567337e-05,3796491.96875,-1874057.2578125,6.176284387038322e-06,122351.34765625,4303353.296875,0.0008149363056872,0.221655011177063,0.251520574092865,0.2788829207420349,103.73749999999998,80.88749999999999,83.64999999999999,82.35,83.64999999999999
2013-01-04,97.38749999999999,83.37499999999999,80.1875,87.4625,80.1875,-0.000233505415963,0.1180636882781982,17.783584594726562,286.2607727050781,-0.0012327197473496,7.0368396336562e-06,291.1179413795471,290.510986328125,287.8780937194824,295.1334037780762,3.015595569877405e-05,5148360.78125,-2596983.23828125,1.2763207905663876e-05,235355.21875,5839113.953125,0.0015864708111621,0.2540954947471618,0.2510690093040466,0.2788428664207458,104.93749999999999,78.92499999999998,80.69999999999999,85.775,80.69999999999999
2013-01-05,100.71249999999999,84.02499999999999,83.39999999999999,84.8625,83.39999999999999,-2.68258418145706e-07,0.118104875087738,20.37495422363281,286.1410827636719,-0.0023880818625912,-4.3368090777069245e-20,290.2377109527588,290.04595947265625,287.97889709472656,295.04269790649414,3.0094859482687752e-05,6073890.6875,-3441780.1640625,6.109573291723791e-09,102452.8125,6886206.39453125,4.276632239452738e-07,0.2423407435417175,0.2507681250572204,0.2787913680076599,97.38749999999999,83.37499999999999,80.1875,87.4625,80.1875
2013-01-06,106.71249999999999,83.71249999999999,85.175,82.8125,85.175,-1.3612135774110357e-07,0.1181593537330627,24.57994079589844,286.0299987792969,-0.002362321014516,-2.40692950017233e-20,290.61755561828613,290.5093536376953,288.28639221191406,294.9530601501465,3.002154693376724e-05,6343970.875,-3591371.515625,0.0,137962.0,7193593.6533203125,0.0,0.2304027676582336,0.2499756217002868,0.2787417769432068,100.71249999999999,84.02499999999999,83.39999999999999,84.8625,83.39999999999999
2013-01-07,95.92499999999998,84.02499999999999,73.4125,79.7,32.9375,-1.0227142411167732e-05,0.1182024478912353,26.930160522460938,285.9856414794922,-0.0017985634040087,1.2108589544368442e-05,290.08384704589844,290.0314292907715,288.2176971435547,294.8649177551269,2.9954342551263835e-05,4315642.3125,-2581717.3671875,9.104667526571576e-07,506522.4375,4892192.2578125,0.0001268075284315,0.2238167524337768,0.2489022612571716,0.2786902785301208,106.71249999999999,83.71249999999999,85.175,82.8125,85.175
2013-01-08,94.06249999999999,83.825,91.5625,79.725,62.6125,-2.695436342037283e-05,0.1182569861412048,21.63218688964844,286.11766052246094,-0.0011315379524603,5.674227736562898e-07,292.7331085205078,292.0598449707031,288.2974166870117,294.77874183654785,2.9887134530781623e-05,6318904.6875,-3556896.078125,7.256933187704817e-08,-17761.921875,7165686.65234375,9.155878501587722e-06,0.2249304056167602,0.2479223608970642,0.2786521315574646,95.92499999999998,84.02499999999999,73.4125,79.7,32.9375
2013-01-09,106.13749999999999,99.9875,99.88749999999999,87.425,70.425,-7.259869016706944e-05,0.1183095574378967,21.877243041992188,286.1300964355469,-0.0015466539189219,6.973568247303774e-07,291.02588653564453,290.8354187011719,288.4274368286133,294.6953592300415,2.9819930148278218e-05,5137203.90625,-2419667.3984375,3.824863824775093e-06,109206.75,5828701.1484375,0.0005028498999308,0.2243685722351074,0.2469152808189392,0.278587281703949,94.06249999999999,83.825,91.5625,79.725,62.6125
2013-01-10,105.52499999999999,85.4125,94.04999999999998,85.3875,90.95,-1.6443962522316724e-05,0.1183507442474365,22.86778259277344,286.1001892089844,-0.0021132776746526,1.376828890897741e-07,290.6884307861328,290.6045684814453,288.4946060180664,294.6110000610352,2.9746613961378895e-05,5016952.6875,-2221134.609375,6.514828498893621e-07,40082.0,5691595.6953125,9.220547144650482e-05,0.2169039249420166,0.2458724379539489,0.2785491347312927,106.13749999999999,99.9875,99.88749999999999,87.425,70.425
2013-01-11,102.0625,94.24999999999999,87.725,85.825,62.5125,-0.0002011845062952,0.118405282497406,25.805892944335938,286.0313262939453,-0.0022681351983919,1.789884663594421e-06,289.8430757522583,289.88299560546875,288.26807403564453,294.5304706096649,2.9685521383271407e-05,4992762.59375,-2470544.212890625,7.577448741358239e-06,378576.03125,5664788.8046875,0.0010279017897119,0.2258666753768921,0.2448891997337341,0.2784995436668396,105.52499999999999,85.4125,94.04999999999998,85.3875,90.95
2013-01-12,100.7,90.26249999999999,92.4125,93.7375,65.425,-1.4343802376970416e-06,0.1184616684913635,28.353256225585938,285.9386138916016,-0.0035931624006479,-4.7271220045494733e-20,290.08641815185547,290.1515808105469,288.23509216308594,294.4493761062622,2.9612205196372088e-05,6171127.375,-3287022.515625,4.544902765246661e-08,333080.25,7001032.20703125,5.727433176616614e-06,0.2149498462677002,0.2439283728599548,0.2784594893455505,102.0625,94.24999999999999,87.725,85.825,62.5125
2013-01-13,108.975,84.8375,110.44999999999999,97.30000000000001,83.75,3.8184833073273694e-10,0.1185142993927002,27.050277709960938,285.9073028564453,-0.0015318552032113,5.018663955524971e-07,290.8363943099976,290.22496032714844,287.3761138916016,294.3702344894409,2.955110898028579e-05,6126817.75,-3392396.8701171875,1.4901161193847656e-08,-487626.03125,6947519.390625,2.568648369560833e-06,0.2071528434753418,0.2426652312278747,0.2784079909324646,100.7,90.26249999999999,92.4125,93.7375,65.425
2013-01-14,107.44999999999999,87.89999999999999,92.64999999999999,89.45,72.6125,-4.677575816458557e-06,0.1185554265975952,25.698715209960938,285.9595489501953,-0.0016965388786047,5.662149860086174e-08,291.5899353027344,291.1263656616211,288.1259155273437,294.29004096984863,2.947779279338647e-05,5424100.5625,-3452020.921875,1.356015388864762e-08,777439.4375,6152755.931640625,1.2814998058274796e-06,0.2041389942169189,0.2414526343345642,0.2783564925193786,108.975,84.8375,110.44999999999999,97.30000000000001,83.75
2013-01-15,101.07499999999999,83.26249999999999,83.94999999999999,75.475,69.77499999999999,-0.0001753796095727,0.1186099648475647,25.204574584960938,286.0101013183594,-0.0009097223519347,1.05355857158429e-05,289.3742980957031,289.6183776855469,287.88326263427734,294.2112045288086,2.9413644313081026e-05,5575053.5625,-2580364.263916016,5.069986968919693e-06,-678867.375,6318237.1875,0.0007573554466944,0.2099952697753906,0.2403106093406677,0.2783049941062927,107.44999999999999,87.89999999999999,92.64999999999999,89.45,72.6125
2013-01-16,92.4125,84.13749999999999,88.79999999999998,81.625,71.2375,-0.0004096853081136,0.1187536716461181,29.100326538085938,285.78501892089844,-0.0036920915590599,8.44895748741692e-06,287.4769287109375,287.47443771362305,286.9972915649414,294.13398361206055,2.934338402837966e-05,5213917.09375,-3056537.076171875,6.166154707898386e-05,725271.5,5920472.59375,0.0074388805078342,0.3204418420791626,0.2423600554466247,0.2782687544822693,101.07499999999999,83.26249999999999,83.94999999999999,75.475,69.77499999999999
2013-01-17,89.35,83.77499999999999,83.58749999999999,81.22500000000001,67.6,-1.2063348549418151e-05,0.1189069151878357,31.059066772460938,285.6983184814453,-0.0029274012194946,5.751789444730093e-07,289.07328033447266,289.0887794494629,287.58013916015625,294.0536689758301,2.928228781229336e-05,5005720.3125,-2936178.1875,8.085453373496421e-07,1291274.0,5678162.09375,9.536931793263648e-05,0.2913182973861694,0.2484278082847595,0.2782172560691833,92.4125,84.13749999999999,88.79999999999998,81.625,71.2375
