datetime,iteration,gpu,cvMseMean,cvMseStd,cvSmapeMean,cvSmapeStd,holdoutRmse,holdoutSmape,holdoutMape,holdoutMse,holdoutIoa,full_parameters
1545100626,1,1,257.01268855020965,115.6462960208144,12.655582000841509,3.172986279563109,12.599031538577846,9.494175564986799,0.25989241846076555,158.73559571007922,0.9406567136235815,"[203.55838230658046, 320.75761132366705, 1.9810713308861907, 313.7494835324411, 214.29477820529377, 236.12244303959704, 0.10270662886778177, 0.15200025627417837, 0.23295488120659147, 0.03398863732745355, 0.07174606835776029, 0.2305203106290299, 0.8190385501500417, 0.20543948673522522, 0.7552370410345657, 0.7062520708299813, 0.3697312303827688, 0.7276195384579713, 0.14671122220517313, 0.8278375265301654, 0.40821954515066444]"
1545101397,2,1,450.83443128477484,158.48872253203922,16.228925579841167,3.254951822199285,18.50514043705918,13.30221699446493,0.4061253980787792,342.44022259528276,0.8729661176859143,"[197.01499793148048, 287.3250792094083, 2.876926681644519, 300.3055907939833, 38.48447746404864, 171.13141574691684, 0.13022953595946843, 0.10965328505051895, 0.01742463658505773, 0.18379483280370182, 0.15538258879334935, 0.10055855649095755, 0.770870644347738, 0.8478920280489344, 0.9512835770390653, 0.5854775527395591, 0.3581973042379122, 0.5092412646807667, 0.6981576511589762, 0.5107101143336793, 0.6257717208083691]"
1545103994,3,1,270.56149951137206,110.11398135757494,12.991065811751387,2.8649058805149457,13.503874881331177,10.110530984436442,0.2683926197692505,182.35463681064712,0.9306704643713517,"[19.544773194045376, 470.550132967533, 0.5846333628347861, 231.57208961584442, 110.50334073299904, 410.1751443230581, 0.08832815579887435, 0.23030101925647445, 0.02218252749613854, 0.07335738368295949, 0.04300530139790126, 0.18602017968487355, 0.1394520368150422, 0.09357014330603414, 0.9712519870363846, 0.9650193008525676, 0.7877936485929287, 0.6945770496957725, 0.2092372813765364, 0.9123936522876606, 0.8219305958956504]"
1545107326,4,1,254.27789892534565,108.42207402526232,12.438831649494748,2.8191597441766656,12.451167219428509,9.641251307463,0.276785252035756,155.03156512617107,0.9404627979386171,"[27.01624910142371, 245.42656778916, 1.7001588076540721, 112.80002400377049, 53.17027296546266, 253.0929537409998, 0.05456792750970284, 0.03488809277844815, 0.06714444962514898, 0.012948625221862686, 0.24338115661883636, 0.1640944219702499, 0.19703587637044073, 0.39186249249849925, 0.6580883992830604, 0.9456041586860633, 0.6153981333894368, 0.8115852802187228, 0.7707860459260172, 0.22280144852946016, 0.19601945388605108]"
1545108115,5,1,296.6373943395053,134.50403037757255,13.652983606852194,3.2871959732477545,14.058415520795494,10.608805174000254,0.261078992423201,197.63904695534364,0.9309240222153433,"[109.80633112787926, 425.1076821347251, 0.6141928865949297, 344.1474354331304, 235.62291718783712, 349.23390852121446, 0.11527089728143448, 0.20387729409227745, 0.025193109208179812, 0.018054271557070206, 0.08775748771987325, 0.18039297489370304, 0.06635937393100733, 0.8103161942766846, 0.7852566336850209, 0.8919520997823759, 0.4586371156388258, 0.4703471006210398, 0.924556794526303, 0.591113396394572, 0.7992702302296149]"
1545108653,6,1,255.27056412202023,107.90367008651563,12.503305803111116,2.7256556634405698,12.876619286513103,9.896039013372759,0.2746740658093166,165.8073242498012,0.9376158006817663,"[304.7569598481343, 180.28208401070887, 2.9147310396416057, 201.6855352328338, 249.66679573530018, 68.37864723403337, 0.1657332870598224, 0.06778824379212259, 0.09525969537370337, 0.09907760696588949, 0.24843515193654891, 0.15837369748043828, 0.6591941064008179, 0.2813813731388408, 0.30980453115311807, 0.999633994362143, 0.33926978736175534, 0.16901208892514685, 0.19382951552749517, 0.24091378405698433, 0.30046663604331814]"
1545109569,7,1,269.11764382038797,117.81376449500537,12.942613359018562,3.012852665635953,13.28646492675338,10.17336171302066,0.2608440060233751,176.5301502498477,0.9353993244256107,"[154.93554873941488, 414.71500070093066, 0.5121633783226229, 277.88033635120735, 97.30486215911324, 500.64822865049337, 0.13175426280728494, 0.20489426562096, 0.013199521777529824, 0.16988400501543596, 0.16249883426982045, 0.03111440544162987, 0.34598608256275837, 0.377399372098319, 0.03890669850867373, 0.6516224208738247, 0.2832612874177799, 0.5422278912261512, 0.2656037072417982, 0.8674198639473213, 0.9129378354769895]"
1545110273,8,1,269.47983872424055,114.21575275918579,12.699958042693854,2.811283348714562,12.92911211595679,9.92299249037162,0.2759341108317606,167.1619401069807,0.9363680609557137,"[134.09842974610442, 380.4938952864725, 2.08419568652845, 375.23208670242093, 209.14999924952713, 40.15719015427908, 0.09933610464272889, 0.011973158075054544, 0.10797569211332705, 0.1913671684738412, 0.2097416271323535, 0.18841412122519988, 0.15110159091059316, 0.7610392759910534, 0.7754561938565347, 0.601880072284335, 0.4891513338138728, 0.3302567046279328, 0.1850103074628393, 0.20130433739103415, 0.4447849270561306]"
1545111034,9,1,414.9662192440302,374.55863647414003,17.334516514072913,9.817245999294913,12.843342082722415,9.758985472969542,0.25050794459793524,164.95143585382854,0.9408162911104272,"[341.0507732051732, 379.58515358429344, 2.339499461842456, 387.01669697345335, 135.9308643157767, 346.07517370087305, 0.17288648500477755, 0.1481712084901545, 0.046889554959477414, 0.20273143614532677, 0.010317886424367803, 0.1841825622333473, 0.8721042630718794, 0.38062938675329827, 0.7487442250110101, 0.1378690669308974, 0.40627722118241094, 0.8084663538063688, 0.3229549845602674, 0.6516471582154179, 0.1531616512457194]"
1545112018,10,1,291.4125747188829,138.88640540751274,13.233076187015794,3.3130508147570596,13.202683834477508,10.17455307205111,0.2761401749532236,174.31086043317373,0.9362028994340211,"[86.34490589397763, 269.615363845868, 2.447190499979475, 441.60776598018117, 55.9407172376108, 319.7286707735299, 0.22004599989993823, 0.16039454075455498, 0.11403047875837863, 0.0967141883069397, 0.04771286066482423, 0.21743092887916865, 0.019354502093865633, 0.7290666033310131, 0.8070642062629769, 0.3452688636852475, 0.4314109705990739, 0.12836460691155183, 0.6258276550960422, 0.7513337525001554, 0.13468282768820772]"
1545112465,11,1,1052.0134051052585,246.16316836586773,21.450862386074355,3.162861625507661,26.179622130532064,16.88409768621045,0.7316887059049956,685.3726148974441,0.2661109962365713,"[297.0967846651462, 300.3649124650042, 0.26742507516405634, 80.19840103703461, 127.79772096465236, 167.72494536954554, 0.13869207783486479, 0.08673906124380087, 0.046390596044776855, 0.15895804071114272, 0.01469473420996463, 0.19143071508482346, 0.22194717253446883, 0.6778531738119248, 0.6853881780150286, 0.24848404308103533, 0.3181437065302489, 0.21608611070365702, 0.5016839244249991, 0.42818744768722034, 0.396059915653405]"
1545113272,12,1,273.60928093501906,128.1978440582313,13.18077159351785,3.7961572231825524,12.698253284803485,9.639636714764526,0.2505283881695036,161.2456364850225,0.9417826880191151,"[266.5641635833247, 447.64706011888535, 1.9510005711900913, 139.0308824807312, 176.58373210938154, 402.8459385774321, 0.2103875740944835, 0.2220928567946065, 0.23636254562526843, 0.19743179788705073, 0.17934424461451948, 0.13192303756835222, 0.034085894304100584, 0.7373481365959343, 0.9352393936646761, 0.0786743884839664, 0.667196917767345, 0.7216403142272015, 0.6315722343743457, 0.04681242847146394, 0.22209478836864088]"
1545113950,13,1,300.2490886897551,126.18998574619232,13.39607590910298,3.017295899177903,12.99085731998849,9.957520523244348,0.27138100856960956,168.7623739082985,0.93741422137626,"[201.04199153875257, 478.47911275816284, 2.017154174276951, 449.0480515092381, 99.09702678122275, 364.17806867364334, 0.13789240926327487, 0.24281394428695563, 0.032613453549003996, 0.020820415727140884, 0.2297089292179031, 0.08890034223631259, 0.3529199944257709, 0.6675105801274768, 0.4389893333063488, 0.31757714058697983, 0.42423342300644434, 0.4186453340052836, 0.17659945999328902, 0.7110788873527168, 0.1303118604060759]"
1545114961,14,1,260.70156576355623,111.14104643016888,12.646515766912703,2.8238344714938344,13.198939892939984,10.10080147873226,0.27598854660599825,174.21201429744258,0.9342122418741394,"[66.0875641035917, 331.6844784630775, 0.8351844896187841, 396.05928862042083, 186.32327355560483, 47.83959563042231, 0.17023185498261437, 0.19285480845320097, 0.21473564287996916, 0.08288663433060674, 0.19038947649315507, 0.1787743269367304, 0.46551482892035845, 0.4745253273514589, 0.2440790509014507, 0.22817289949848912, 0.6094203770844406, 0.42744657888085535, 0.08836265574641905, 0.11599116499237289, 0.660517974011995]"
1545115608,15,1,348.75701805179915,184.7494717687898,14.96140100682727,4.853358040335129,14.670855836664888,11.143693987604532,0.2612600478492606,215.23401098020423,0.9278352946773304,"[300.98126459533944, 361.3111575558207, 1.5596368321303677, 247.10400681839008, 212.93950282557478, 290.49449336578834, 0.23900657257381364, 0.08279983044999106, 0.2492858438298035, 0.21573237433371156, 0.22279248011565295, 0.06069605866051621, 0.7531697317693302, 0.3575573722866441, 0.33570690903185985, 0.569903378154704, 0.8637100144518383, 0.3819201418232484, 0.7903849737739387, 0.8093635353689705, 0.44873931790091764]"
1545116087,16,1,493.97618919979004,139.76648723304444,17.992210610824536,2.9100345975847337,20.93457419637818,16.194399239729588,0.355919453118413,438.25639678366315,0.8718906693812459,"[287.2632123739275, 167.9282056537906, 1.1236298563825784, 327.8709499282258, 101.83197673509554, 91.06303296576792, 0.1177920866706498, 0.09331640756521298, 0.17979692634351702, 0.06542723388228233, 0.031184363073479784, 0.13821628282188547, 0.2045841413060852, 0.9125532392013671, 0.8977681464086561, 0.02634710778450844, 0.3051549324402133, 0.229634426739591, 0.581632806648261, 0.7364045568556506, 0.9597545007081709]"
1545117227,17,1,266.54787390743,110.54943305388467,12.403766342449204,2.8160034942211802,12.368528504795014,9.58869230287899,0.25552021209364284,152.9804973739268,0.9433928543799949,"[69.44647347642501, 173.5700173972299, 2.1402471064898467, 306.2960983995689, 230.06445149161524, 284.58410982450516, 0.11134108964220173, 0.13861643307696953, 0.24378063480860268, 0.15094611291909274, 0.17261824129973297, 0.06545392343701342, 0.8325601246298078, 0.5211950909547807, 0.013456566392819724, 0.10097725090417209, 0.14257312903725472, 0.3131603874340534, 0.2262081537132815, 0.45093126086659024, 0.6035072037842866]"
1545117885,18,1,318.3831073408561,179.03684840828805,14.881193764416963,6.058483726202091,14.008747387545977,10.649094116539189,0.26039264229354797,196.24500336807623,0.9315296555278443,"[270.29555533054184, 476.57257106707254, 0.5542305003939418, 217.05180212634218, 76.81697479395747, 134.5691198027736, 0.0842825580020983, 0.2441093556859497, 0.19656724307235318, 0.10971040660178516, 0.13003198341631753, 0.06724916163583895, 0.43141073602808905, 0.6108314179705732, 0.8174919756393229, 0.9772604827140546, 0.08058354810052937, 0.6235851586450462, 0.45768629256605714, 0.5664687981463578, 0.46280466401320636]"
1545118623,19,1,606.8975643669708,232.4477546216324,20.09353843235781,4.470897385778827,20.093434829966796,17.12940285162213,0.3329949429261324,403.7461232661228,0.8905233787567803,"[185.53013939189077, 385.90483826776165, 0.3994229671914695, 362.56106173282217, 136.92512020430019, 439.4733117286714, 0.213264471063371, 0.13799389206909082, 0.13494897000013636, 0.15482993054759878, 0.17847597915659186, 0.18351401338778633, 0.888319979148835, 0.23572798736898215, 0.7283462557612205, 0.8261859226242447, 0.632766395457045, 0.4948625767190004, 0.6103728278473269, 0.023849875310273605, 0.36449597089715663]"
