datetime,iteration,gpu,cvMseMean,cvMseStd,cvSmapeMean,cvSmapeStd,holdoutRmse,holdoutSmape,holdoutMape,holdoutMse,holdoutIoa,full_parameters
1545101060,1,2,404.51649304063983,194.9034826538244,15.77693326389085,4.200156143660667,15.15792265979351,11.607618964894012,0.2644386649340844,229.76261936028155,0.9263930078903408,"[58.0, 430.0, 0.0, 257.0, 146.0, 144.0, 0.2105090444466825, 0.13542003403705719, 0.16512828091968626, 0.19782525289723268, 0.09402501129046298, 0.2030166684753228, 0.8246356195566492, 0.16945712272575045, 0.2998566200845143, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]"
1545102187,2,2,260.1164593266388,117.70644102413074,12.523955100870342,2.9016518328588923,12.535242822472984,9.649900135607416,0.26825765907778204,157.13231261836046,0.9415757923949533,"[47.0, 285.0, 1.0, 394.0, 225.0, 245.0, 0.07397939233737938, 0.1900586841935472, 0.029012150442722505, 0.10024105250022677, 0.24567005770323064, 0.22499087085072306, 0.034282676758083816, 0.053278582122780443, 0.5239695931548661, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
1545102965,3,2,269.39321766865817,124.58332454830054,12.82927675697302,3.2099095633941435,12.807585757509543,9.661141217751338,0.26221000493371505,164.03425293596126,0.9399240604810917,"[305.0, 215.0, 2.0, 67.0, 206.0, 404.0, 0.07890760056626239, 0.0850031117936365, 0.1913247536502672, 0.20899240075828232, 0.13994532227567613, 0.013563360619995652, 0.7935295570269373, 0.6255945434017063, 0.11291923249841554, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]"
1545103562,4,2,254.75902268351743,111.83034129028083,12.426904134337411,2.782570169032226,12.622188471710016,9.672948943221426,0.2633619248924154,159.31964181536924,0.939829157681822,"[335.0, 498.0, 1.0, 364.0, 74.0, 305.0, 0.16240493364487, 0.14503817309202913, 0.15269749240068903, 0.051382615492695384, 0.20653728106298852, 0.13354450432276124, 0.10608563345919987, 0.5260562763252803, 0.07487723173354818, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]"
1545104269,5,2,1048.3866112977303,816.5275548843463,29.866309386010585,13.388961193494405,20.375757835361878,18.109674707018193,0.3354021978771807,415.17150736531096,0.8891306737623115,"[349.0, 393.0, 1.0, 456.0, 210.0, 410.0, 0.14704300161470676, 0.13086727084036828, 0.017388744723073488, 0.1884044788009074, 0.1201738446337865, 0.172629598009413, 0.9570521020415634, 0.8074324288252138, 0.32648458990012197, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]"
1545104836,6,2,310.7582063904426,118.25308247306431,13.701665309983781,2.6394314105486147,15.22269475111613,11.361272820226347,0.2768213602983809,231.73043548565855,0.9226235079302346,"[281.0, 428.0, 3.0, 496.0, 225.0, 292.0, 0.23550373956515971, 0.10391573162432322, 0.03009661131502886, 0.013190769368333636, 0.09857181470551218, 0.08237285577016597, 0.5899032237554442, 0.7707067755088827, 0.6251908232044858, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1545105454,7,2,277.07567866151925,119.36468426811693,13.060489030650848,2.9908974494705114,13.481662117047195,10.244594007612328,0.266609368503379,181.75521343822547,0.9333951294909051,"[311.0, 268.0, 3.0, 470.0, 212.0, 251.0, 0.09364761026921756, 0.22366020277793872, 0.1885237491616211, 0.10973151031145116, 0.01913576872532529, 0.14358929540327656, 0.9807905925007033, 0.14866356954194151, 0.7052200326469804, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]"
1545106175,8,2,496.56623042866494,309.7285263322335,20.90015543565638,8.83660750492782,16.183927918157238,12.907586344443908,0.27257608170677156,261.9195228601092,0.9190769002421215,"[194.0, 214.0, 1.0, 332.0, 139.0, 364.0, 0.1381484705713317, 0.15741377741308435, 0.22156288282337827, 0.1686155051940511, 0.06345710287301115, 0.13039093288749726, 0.5343159045680849, 0.7284316223713211, 0.5401212113223672, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]"
1545107178,9,2,643.2554193136714,289.3355073123565,18.245361642378448,3.998998429687882,20.133049411144626,15.08517742527085,0.3240837576015276,405.33967859159094,0.8901480567642721,"[83.0, 457.0, 0.0, 222.0, 226.0, 50.0, 0.05982391454349965, 0.18706058419391172, 0.13673951531075715, 0.10541998861981945, 0.1096396991986171, 0.23859597581328587, 0.8448766006097619, 0.22197398401868568, 0.7813468429593087, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0]"
1545107973,10,2,472.81480292960157,185.13062268514395,17.330850553800996,4.786991668545309,16.37283396798028,12.67056727071506,0.277890393841783,268.0696921430489,0.9197017863309236,"[132.0, 202.0, 0.0, 310.0, 131.0, 476.0, 0.23502646680029185, 0.0875949148739101, 0.1898537140488074, 0.13039162113654432, 0.21030248930693332, 0.21789943793668265, 0.5465469962456222, 0.9685782872415223, 0.19803017154122984, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
1545108987,11,2,288.8881295894919,127.3798122862192,13.059723853563494,3.0998782534186047,13.222835340586284,9.99862700696121,0.25743939620501927,174.8433744442576,0.9385511228679487,"[74.0, 243.0, 3.0, 83.0, 131.0, 167.0, 0.06769595141554749, 0.12986278247232508, 0.05322658386453631, 0.17371968683060227, 0.1654612212209572, 0.08265574512871882, 0.41365053757357123, 0.4287929976784834, 0.04717653582844698, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]"
1545109965,12,2,305.9972429377302,141.25492555567843,13.727513250609794,3.1197013933604953,13.943822990226217,10.62196137664973,0.26141414599176815,194.4301995827612,0.9322707055755444,"[96.0, 421.0, 2.0, 462.0, 88.0, 487.0, 0.02901100006576212, 0.24295467702543633, 0.07436067990523709, 0.04986679589409609, 0.04888898904564944, 0.07197081512348578, 0.8317785206638107, 0.5304702385433794, 0.8519310225541359, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
