datetime,iteration,island,cvMseMean,cvMseStd,cvSmapeMean,cvSmapeStd,holdoutRmse,holdoutSmape,holdoutMape,holdoutMse,holdoutIoa,full_parameters
1548625142,1,1,206.9788806809542,146.3092078747574,6.561124858970317,0.8442437197740995,11.583426306555673,7.437277438313922,inf,134.175764999406,0.8236619338804768,"[9.091796548530812, 418.3664910310206, 3.3628978175526028, 451.7952333504636, 424.82794306460147, 438.4034362100558, 0.0726963936452487, 0.23509578387374389, 0.15265555692625943, 0.011012394272234962, 0.0907650358629269, 0.21856388842242622, 0.3206699953104141, 0.5620340049938518, 0.59871375014685, 0.31358057234951864, 0.14637883258580342, 0.5428265337183906, 0.48783403283503635, 0.5189155510781154, 0.8258690270210957]"
1548625446,2,4,184.68812024456585,103.38499737386128,6.484901586060511,0.8002131546047438,11.111274640413091,7.247277172737419,inf,123.46042413468707,0.8263025671014658,"[26.866467813543547, 394.4346164358864, 3.8744325623978275, 67.48096772914514, 155.17614954506274, 492.74437304991085, 0.01039637062607219, 0.14176117240338393, 0.12895221539064142, 0.09695238354442154, 0.15448791735680933, 0.05684348301233315, 0.9022454458550379, 0.030087427569147375, 0.9947100408329987, 0.5900150994541317, 0.8355158064967692, 0.36829772003900574, 0.7184235374322356, 0.5524336682134018, 0.4185258639744288]"
1548625931,3,10,190.69602352740162,113.87975261681748,6.453119890948683,0.8296275645574145,10.958144494682763,7.385486195638426,inf,120.08093076634616,0.8227471167361515,"[25.296780183388915, 365.7022657705177, 1.769997838596855, 442.6816944707725, 172.79883289886152, 442.85364233952754, 0.21945580177959598, 0.03220493308731705, 0.19904079936462024, 0.10824046782386265, 0.1808948393464665, 0.15987872279290813, 0.19113016721267584, 0.12859837730797552, 0.5269606359816812, 0.852013972896689, 0.5342411551040064, 0.4862173396597923, 0.46647837092868916, 0.9424632253686641, 0.7254200846290648]"
1548628703,7,1,180.82505637057312,108.27276299645361,6.335770396809836,0.8746502946258671,10.996152085084638,7.234335585758238,inf,120.91536067831123,0.8244805143862288,"[26.547265792369075, 418.3724275120223, 3.61670262662455, 231.29086298185575, 458.5001450336404, 350.87278984304425, 0.2315650349168013, 0.06936371557595404, 0.2143116030385207, 0.188729034855008, 0.03164157336311125, 0.11694649911605062, 0.6881261942328852, 0.25460583389146896, 0.9823244751579283, 0.7224362914529426, 0.2600290217026573, 0.5603115667021786, 0.6497894208885667, 0.27150184545397693, 0.9901920895635701]"
1548629556,4,7,200.5353115763593,112.36319092531075,6.832864037810249,0.8879912400318479,11.339474194758486,7.891848641522137,inf,128.5836750135936,0.7890854280348236,"[10.7377069315008, 557.6430000862528, 1.0326636039130994, 160.9642329969717, 261.9408334259788, 188.37469474357567, 0.21367172594227837, 0.24894564279473422, 0.08882931585960381, 0.12947226687920532, 0.18886931290478007, 0.09085160200811603, 0.10273927545410731, 0.33179267516338923, 0.27944570855469536, 0.585013867296578, 0.20233621715471017, 0.6754410557263686, 0.7704017951965763, 0.19052164857836218, 0.4176960730881478]"
1548629674,8,4,197.63754106351462,133.08623683725722,6.4450506110551755,0.8372666115853852,11.3680213206581,7.2287127547349925,inf,129.2319087469371,0.8371427836744119,"[7.278895064397928, 372.5719941758351, 3.975324296878158, 333.2010005187245, 329.35975529661226, 149.75293067354056, 0.18252711506017294, 0.21034959009854082, 0.11551095154433058, 0.08179563432305556, 0.05222149170606514, 0.18292252107422843, 0.23373310232959676, 0.4022136271966051, 0.32493626304473383, 0.2613192327940135, 0.6206477879176479, 0.10726235322809607, 0.13418404298745756, 0.07516005240050883, 0.4799072872898831]"
1548633406,9,10,216.9425148087043,113.00635382558525,7.316505446504716,0.9348462944389793,12.449247671498007,8.813787401984225,inf,154.98376758629854,0.6986920639239651,"[27.000785204647144, 552.0624314697345, 1.3994054820493114, 287.3171966376305, 345.85119675980656, 322.41668370398645, 0.13327321485380608, 0.16636372560083695, 0.09466725831664036, 0.24189264466934343, 0.09328765037934092, 0.059764080577516455, 0.9287455475903704, 0.10637269182499627, 0.9677774443869367, 0.26759350668714177, 0.31737330301631994, 0.8914539486961246, 0.8231232379540193, 0.13414957427441976, 0.08722898490480746]"
1548634746,11,1,200.49798014098855,129.03831482318785,6.470307056173555,0.7957933399819117,11.608261826827079,7.124681858205167,inf,134.75174264017076,0.8186278480796021,"[7.497129857689036, 369.0707912561668, 3.5242707182663997, 233.68582972294917, 195.01430862924886, 350.44902862338256, 0.037325218678781386, 0.0634257783353931, 0.03897724111807741, 0.17708138878585447, 0.035372653528204116, 0.07108778406078499, 0.6820341596321936, 0.7700605276337339, 0.4417534554073813, 0.27287343274858944, 0.5887714130415466, 0.14480585346458497, 0.30079348762220315, 0.8218560317424254, 0.7644300930943763]"
1548636209,9,4,199.44636165269213,127.40208594513653,6.474128706411127,0.8532829231745699,11.70275484050091,7.507324989847798,inf,136.9544708568675,0.8044137284049369,"[8.393048999983613, 379.9708927350021, 2.131798615278753, 355.10057712662956, 456.0024047086057, 312.03087884797037, 0.07267769156289311, 0.23806606356050042, 0.11058914294464804, 0.19444620879248756, 0.06007143452637754, 0.04920492310364363, 0.6487455892655398, 0.38520668462671964, 0.05997137723705098, 0.2777571114164109, 0.9187386700109038, 0.5155687288526306, 0.00968128209372321, 0.27691297403612913, 0.6098320768409974]"
1548637007,12,7,198.69046053139056,123.67587408902823,6.752322537112434,0.9309190239831528,11.20090182126398,7.717922501830283,inf,125.46020160959472,0.7952584793945086,"[29.23724344101182, 393.66645898317995, 1.0161342283004915, 415.1981841933629, 158.78825901018968, 420.76128942544165, 0.12272652449330122, 0.2179597573839393, 0.23598782643808014, 0.15865146622673604, 0.06946997630415097, 0.15318281320876986, 0.2343360493621709, 0.6151828185559436, 0.2075008156008126, 0.16891366964759214, 0.23380158144714958, 0.3745182780554651, 0.5585288768027699, 0.6587261196654409, 0.07446745275321764]"
